Year,Driver Name,Driver Number,Race Location,Date,Session Name,Session Type,Fastest Lap Time
2025,Max Verstappen,1,"Suzuka, Japan",2025-04-04,Practice 2,Practice,1:28.670
2025,Max Verstappen,1,"Suzuka, Japan",2025-04-05,Practice 3,Practice,1:28.497
2025,Max Verstappen,1,"Suzuka, Japan",2025-04-05,Qualifying,Qualifying,1:26.983
2025,Max Verstappen,1,"Suzuka, Japan",2025-04-06,Race,Race,1:31.041
2025,Max Verstappen,1,"Sakhir, Bahrain",2025-04-11,Practice 1,Practice,N/A
2025,Max Verstappen,1,"Sakhir, Bahrain",2025-04-11,Practice 2,Practice,1:31.330
2025,Max Verstappen,1,"Sakhir, Bahrain",2025-04-12,Practice 3,Practice,1:33.027
2025,Max Verstappen,1,"Sakhir, Bahrain",2025-04-12,Qualifying,Qualifying,1:30.423
2025,Max Verstappen,1,"Sakhir, Bahrain",2025-04-13,Race,Race,1:36.167
2025,Max Verstappen,1,"Jeddah, Saudi Arabia",2025-04-18,Practice 1,Practice,1:29.818
2025,Max Verstappen,1,"Jeddah, Saudi Arabia",2025-04-18,Practice 2,Practice,1:28.547
2025,Max Verstappen,1,"Jeddah, Saudi Arabia",2025-04-19,Practice 3,Practice,1:28.334
2025,Max Verstappen,1,"Jeddah, Saudi Arabia",2025-04-19,Qualifying,Qualifying,1:27.294
2025,Max Verstappen,1,"Jeddah, Saudi Arabia",2025-04-20,Race,Race,1:32.500
2025,Max Verstappen,1,"Miami, United States",2025-05-02,Practice 1,Practice,1:27.558
2025,Max Verstappen,1,"Miami, United States",2025-05-02,Sprint Qualifying,Qualifying,1:26.737
2025,Max Verstappen,1,"Miami, United States",2025-05-03,Sprint,Race,1:40.697
2025,Max Verstappen,1,"Miami, United States",2025-05-03,Qualifying,Qualifying,1:26.204
2025,Max Verstappen,1,"Miami, United States",2025-05-04,Race,Race,1:30.523
